"id","category_id","is_reference","legend","image","sound","created_at","updated_at"
"826f4f4e-93f6-4b33-8c43-dbdc80f0a6f2",e8bb04fe-480c-41e9-ae9d-34d73f772169,0,MORANGO,db2af68332bad7ad43cdd8893eafa508.png,"49a13dd6f885df8a96e8123d65c21c11.mp3","2022-09-21 14:18:40","2022-09-21 14:18:40"
"88537e70-be1a-426b-8051-50595ccbaedf",b0b472c7-d5e6-4ce3-a0fd-d9f1babcb7d5,0,MESA,fcc0da61eca9c28600382b981c6665d5.png,"9bdb860a71c0b8b55a97de4ea4be5d2e.mp3","2022-09-21 14:24:28","2022-09-21 14:24:28"
"93376610-d558-4f57-935c-59b259e42544","1f82263e-a299-41cd-9b1d-6f7af2882ef0",0,CAMISETA,d3b7d486acda9ae53b5c4e02fffeb117.png,da7a7b745a81b7b2b65c9f7a7076afea.mp3,"2022-09-21 14:35:03","2022-09-21 14:35:03"
"934f238f-31cd-445d-ae92-942f2705c603","2c412cbb-8b2d-413d-86fd-14bf89aa756a",1,ORELHA,"897576180228dda56d09499f2647656a.png","6a00b047cf8d5042d9de59325f15c589.mp3","2022-09-21 14:32:53","2022-09-21 14:32:53"
"9daca50d-4584-4193-9991-ae0288c1465f","5c4e04e2-8664-4503-87f4-6a2f05bc0446",1,BATEDEIRA,"1a5e97e79f110c49a9297757bfd083b9.png",ea7d952866d0be30605cb7791819a4ab.mp3,"2022-09-21 14:30:15","2022-09-21 14:30:15"
"9f9a7ae1-d513-4ab9-a7a4-738e4643d16f",e6c75869-c0ef-4713-aa5f-271996084405,1,FLOR AMARELA,b0a97f90d31500744a30f75dec69a7c7.png,"335e07597a26ae192837608378a2f8d6.mp3","2022-09-21 14:21:00","2022-09-21 14:21:00"
a5990bf5-f514-4cf5-b004-0820ca41aa81,"9b03f970-bfb2-4c51-b110-c48c68e67384",1,IOGURTE,e3f5f66d273c9150b0e30be7e0aeae4e.png,"306b454f852f3b8b00c2c9a0374f394e.mp3","2022-09-21 14:28:03","2022-09-21 14:28:03"
abb1464a-82c6-49ee-b9a6-5ba285299726,c7d3390a-1c68-476c-b578-7a07d17d36e8,1,GATO,"61bc92c6d7587f08a732ae486a43d757.png",,"2022-09-21 13:53:38","2022-09-21 13:53:38"
b3e58c8b-eb6d-4487-b05b-c62c71bae87c,c7d3390a-1c68-476c-b578-7a07d17d36e8,0,GALINHA,a94b35c47dfd992610f150b540e0ff8c.png,"0a2535f26a1e7671e7b09d87f590f4c8.mp3","2022-09-21 14:22:56","2022-09-21 14:22:56"
bda6cf85-3270-472e-9642-124895bf7f98,"9ce41f15-30b7-43f8-b59c-406f89a6da80",1,LANCHE,e92f4abbb1893cb49ffcc779a44f0f32.png,,"2022-09-21 14:00:25","2022-09-21 14:00:25"
c9aef028-d475-4326-b670-fcf73cb48145,"9ce41f15-30b7-43f8-b59c-406f89a6da80",0,FRUTAS,"0be0b13a140ceebb72e263594d6bd430.png","1b499ed595b7afc2ebcce65c19401e9c.mp3","2022-09-21 14:25:54","2022-09-21 14:25:54"
cd83ce30-14b9-4514-85f1-12c918f08ab2,"9ce41f15-30b7-43f8-b59c-406f89a6da80",0,COMIDA,"695e86ff50a2d0f22893e3b598725e6c.png",f177028638ba304e1de2301b5f52e480.mp3,"2022-09-21 14:25:54","2022-09-21 14:25:54"
ce37aa83-8433-4407-891e-af7410841cec,e6c75869-c0ef-4713-aa5f-271996084405,0,FLOR VERMELHA,"8f297c61319fc1c20750a2370e1a7022.png",,"2022-09-21 13:47:20","2022-09-21 13:47:20"
ce51425e-4b94-436e-a21b-c80ec808f19f,"5c4e04e2-8664-4503-87f4-6a2f05bc0446",0,CHALEIRA,"584370fd23eaff9d23423d1ccff8e2dc.png","81217fe638700a739e3c5569e9e2ed21.mp3","2022-09-21 14:30:15","2022-09-21 14:30:15"
ceead950-57a8-4a76-859e-ac67f7704d7a,"5c4e04e2-8664-4503-87f4-6a2f05bc0446",0,LIQUIDIFICADOR,"581a053206d9b0013ed5e9a60cf4d2e7.png","0fd0114b3ecdee6fef5254275d74ae15.mp3","2022-09-21 14:30:15","2022-09-21 14:30:15"
d4d6f04e-2829-477e-a9fb-4575b8ccc462,"2c412cbb-8b2d-413d-86fd-14bf89aa756a",0,PERNAS,"3ec3c0cf8385b2364cc3e729a62dd8ad.png","84270df27c5e21c086dac52bb8424708.mp3","2022-09-21 14:32:53","2022-09-21 14:32:53"
d58003dd-7823-4b8d-b4b0-4467c5d32342,"5c4e04e2-8664-4503-87f4-6a2f05bc0446",0,FERRO ELÉTRICO,"57a3823c00188ef33f1fe53f697a2941.png",aace297800b9fa8f62fe541192fe329d.mp3,"2022-09-21 14:30:15","2022-09-21 14:30:15"
d7d66ced-be9a-4232-bd98-b693d76ef9e1,b0b472c7-d5e6-4ce3-a0fd-d9f1babcb7d5,0,GELADEIRA,"3bb90bf4cdaa522c651235a8f84a5033.png",c19d44de5b75678634e5f8230b0b5050.mp3,"2022-09-21 14:24:28","2022-09-21 14:24:28"
d8e24d1f-36e7-4d67-a559-e2475458dc7c,c7d3390a-1c68-476c-b578-7a07d17d36e8,0,PEIXE,"6e0d89dd23c2b42dec2fa3c0ff0d364d.png",fda749508417436bbdbc1c91ede257a0.mp3,"2022-09-21 14:22:56","2022-09-21 14:22:56"
d8f55a2d-2ecf-4961-9b8a-79cbd771e426,e8bb04fe-480c-41e9-ae9d-34d73f772169,0,ABACAXI,d530c074fabf47caa94ec4a7f956431b.png,f654c330dc09471e8b05a5ffb5ec8190.mp3,"2022-09-21 14:18:40","2022-09-21 14:18:40"
ee3e4324-8a76-4e69-8467-95dd9690db16,"1f82263e-a299-41cd-9b1d-6f7af2882ef0",0,CAMISA,"544eff907f598b220fc2f32a95015dcb.png",fd72f11a161f099eabbe5e6ec01f4625.mp3,"2022-09-21 14:35:03","2022-09-21 14:35:03"
fb3554f0-fb0b-4e49-9646-9671d8ee785a,"9ce41f15-30b7-43f8-b59c-406f89a6da80",0,PIZZA,"1ee9c6ce7a2bb8d57a74f5de08437f63.png",aa9b6d058b0fdc669dd6ed2d319ac621.mp3,"2022-09-21 14:25:54","2022-09-21 14:25:54"
fda9e3f9-7fe4-49af-9e00-28223732fff1,"1f82263e-a299-41cd-9b1d-6f7af2882ef0",1,TENIS,fe04fcb45da7ce0533d82384ed930500.png,,"2022-09-21 13:50:29","2022-09-21 13:50:29"
